Language	Closeness Centrality	p-value (binomial)	p-value (switching)
Arabic	0.30225080863387	0.0000	0.9880
Chinese	0.295468426053901	0.0000	0.8220
Czech	0.282111153643719	0.0000	1.0000
English	0.311729081690237	0.0000	1.0000
Finnish	0.276746456089996	0.0000	1.0000
French	0.344377330917118	0.0000	1.0000
Galician	0.346300394929431	0.0000	1.0000
German	0.322893450452992	0.0000	1.0000
Hindi	0.332115195751329	0.0000	1.0000
Icelandic	0.295010718093129	0.0000	1.0000
Indonesian	0.303894885864761	0.0000	1.0000
Italian	0.339905440917244	0.0000	1.0000
Japanese	0.33822042979588	0.0000	0.9860
Korean	0.212734586658557	0.0000	0.0000
Polish	0.28490402849596	0.0000	1.0000
Portuguese	0.313312364468894	0.0000	0.9860
Russian	0.286648945635339	0.0000	0.9940
Spanish	0.341765005462384	0.0000	1.0000
Swedish	0.298204314630892	0.0000	0.9980
Thai	0.306568034049369	0.0000	0.7620
Turkish	0.288230819371445	0.0000	0.7400
