Language	N	E	<k>	δ
Arabic	4785	16251	6.792	0.00142
Chinese	5446	16919	6.213	0.00114
Czech	5318	14984	5.635	0.00106
English	4666	16908	7.247	0.00155
Finnish	4255	11569	5.438	0.00128
French	4630	18186	7.856	0.0017
Galician	4476	17438	7.792	0.00174
German	5385	17316	6.431	0.00119
Hindi	4420	15319	6.932	0.00157
Icelandic	4837	14786	6.114	0.00126
Indonesian	3726	14961	8.031	0.00216
Italian	4814	18072	7.508	0.00156
Japanese	4905	19899	8.114	0.00165
Korean	8258	14188	3.436	0.00042
Polish	5033	14840	5.897	0.00117
Portuguese	6237	19007	6.095	0.00098
Russian	5155	15432	5.987	0.00116
Spanish	4528	17396	7.684	0.0017
Swedish	5006	15676	6.263	0.00125
Thai	4040	15988	7.915	0.00196
Turkish	4597	13437	5.846	0.00127
